,created,user_location,tweet_text,username,all_hashtags,refine_text,text_length
0,11/9/2020 4:49,Gotham City ,b'Look at #SRH youngster Priyam Garg after Kane Williamson masterclass 50 last night \xf0\x9f\xa4\xa8  Forget about moving his A$$ look at his behavior \xf0\x9f\x98\xa1  Really is this guy groomed under great Rahul Dravid ?  Virat Kohli 2.0 loading in terms of shittiness for sure   #SRHvDC #DCvSRH #IPL2020 https://t.co/Zi3wWUwZwn',b'SteadyTheShip',"['SRH', 'SRHvDC', 'DCvSRH', 'IPL2020']",look youngster priyam garg kane williamson masterclass last night forget moving look behavior really guy groomed great rahul dravid virat kohli loading term shittiness sure,40
1,11/9/2020 4:49,"Bengaluru South, India",b'This is Mr.360\xc2\xb0 @ABdeVilliers17 . Most dangerous Animal in cricket \xf0\x9f\x98\x80.  #Cricket #IPL2020 #Eliminater #IPLQualifier #Dhoni #RCBvsSRH #IPlFinal2020 #SouthAfrica #ABDevilliers @OfficialCSA @ICC @BCCI @imVkohli #ViratKohli @RCBTweets @StarSportsIndia #SelectDougout #IPLSIXES https://t.co/lvgkiDw1F4',b'imsapien',"['Cricket', 'IPL2020', 'Eliminater', 'IPLQualifier', 'Dhoni', 'RCBvsSRH', 'IPlFinal2020', 'SouthAfrica', 'ABDevilliers', 'ViratKohli', 'SelectDougout', 'IPLSIXES']",mrxcxb dangerous animal cricket,9
2,11/9/2020 4:48,"Chennai, India ","b""Great things happen to those who don't stop believing, trying, learning, and being grateful !\xf0\x9f\x99\x8f  Happy Morning \xf0\x9f\x8c\xb7  @ImRo45 \xf0\x9f\x92\x99 @mipaltan \xf0\x9f\x91\x8d  #RohitSharma #MumbaiIndians #IPL2020 #IPLfinal #MondayMotivation #Believe \xf0\x9f\x91\x8a https://t.co/SOU7xG3QV7""",b'CricketGirl_45',"['RohitSharma', 'MumbaiIndians', 'IPL2020', 'IPLfinal', 'MondayMotivation', 'Believe']",great thing happen dont stop believing trying learning grateful happy morning,21
3,11/9/2020 4:48,"Chennai, India",b'T Natarajan made a mark with his yorkers in #IPL2020 \xf0\x9f\x91\x8c  Will we see him play T20Is for India soon? https://t.co/bFsT2S3fJ4',b'ESPNcricinfo',['IPL2020'],natarajan made mark yorkers xfxfxxc see play ti india soon,19
4,11/9/2020 4:47,"Kerala, India",b'#IPL2020 Final: Marcus Stoinis warning to @mipaltan...   . Check Out:- https://t.co/Hs5fRPXd3M . #iplseason13 #IPLfinal #MumbaiIndians #DelhiCapitals #DCvsMI #DCvMI #MIvDC #MI #YehHaiNayiDilli #MIvsDC',b'InsideSportIND',"['IPL2020', 'iplseason13', 'IPLfinal', 'MumbaiIndians', 'DelhiCapitals', 'DCvsMI', 'DCvMI', 'MIvDC', 'MI', 'YehHaiNayiDilli', 'MIvsDC']",marcus stoinis warning check,7
5,11/9/2020 4:47,NA,"b""I have seen some trollers trolling Rohit and Dhoni captaincy after Gautam Gambhir's comment. That whole team efforts makes captain great ! That's true no doubt but backing your cap &amp; uncap team mates in there bad times shows Rohit and Dhoni greatness as a captain ! \xf0\x9f\x99\x8f  #IPL2020""",b'archit0687',['IPL2020'],seen troller trolling rohit dhoni captaincy gautam gambhirs comment whole team effort make captain great thats true doubt backing cap uncap team mate bad time show rohit dhoni greatness captain,46
6,11/9/2020 4:47,India,b'#IPL2020 Final is set.   Four-time champions #MumbaiIndians vs first-time finalists #DelhiCapitals.   Will #MI extend their record or will we witness a new champion? https://t.co/wjNYJDHXCl',b'thefield_in',"['IPL2020', 'MumbaiIndians', 'DelhiCapitals', 'MI']",set fourtime champion v firsttime finalist extend record witness new champion,19
7,11/9/2020 4:46,NA,"b""Man of the Match in IPL finals:  2013-Kieron Pollard 2015-Rohit Sharma 2017-Krunal Pandya 2019-Jasprit Bumrah  And all 4 will play in tomorrow's final! Maintaining the core is one of the biggest reason for this team's success\xf0\x9f\x92\x99 #Mi #MumbaiIndians #OneFamily  #IPL2020 #MIvDC""",b'__r_a_h_u_l___',"['Mi', 'MumbaiIndians', 'OneFamily', 'IPL2020', 'MIvDC']",man match final kieron pollard rohit sharma krunal pandya jasprit bumrah play tomorrow maintaining core one biggest reason team successxfxfxx,35
8,11/9/2020 4:46,Global,"b'@SunRisers Thanks for the another year of grit, grace, strength and entertainment @SunRisers  #OrangeArmy #SRH #SunrisersHyderabad #IPL2020 @davidwarner31 #Hyderabad'",b'sriniarcher',"['OrangeArmy', 'SRH', 'SunrisersHyderabad', 'IPL2020', 'Hyderabad']",thanks another year grit grace strength entertainment,11
9,11/9/2020 4:46,"Ponnamaravathi, India","b'2017 RCB released Watson, in 2018 he made finals &amp; won with CSK, 2018 RCB released DeKock, in 2019 he made finals &amp; won with MI, 2019 RCB released Stoinis &amp; Hetmyer and now they have made the finals with DC  \xe0\xa4\x86\xe0\xa4\xb0\xe0\xa4\xb8\xe0\xa5\x80\xe0\xa4\xac\xe0\xa5\x80 \xe0\xa4\xab\xe0\xa5\x81\xe0\xa4\xb2 \xe0\xa4\xaa\xe0\xa4\xa8\xe0\xa5\x8c\xe0\xa4\xa4\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x88 #IPL2020'",b'The_Kafir_boy',['IPL2020'],rcb released watson made final csk rcb released dekock made final mi rcb released stoinis hetmyer made final dc xexaxxexaxbxexaxbxexaxxexaxacxexax xexaxabxexaxxexaxb xexaxaaxexaxaxexaxcxexaxaxexax xexaxbxexax,40
